Date : 2025-04-09 17:25:05
Directory : c:\Users\jimzord12\GitHub\edu-game-magnetism
Total : 81 files,  11603 codes, 420 comments, 556 blanks, all 12579 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |      8,445 |          5 |          9 |      8,459 |
| TypeScript         |         44 |      1,977 |        349 |        353 |      2,679 |
| TypeScript JSX     |         13 |        769 |         58 |         93 |        920 |
| CSS                |          5 |        136 |          5 |         26 |        167 |
| Markdown           |          3 |        127 |          0 |         58 |        185 |
| YAML               |          1 |         45 |          0 |         10 |         55 |
| HTML               |          2 |         39 |          0 |          1 |         40 |
| JavaScript         |          2 |         28 |          0 |          3 |         31 |
| MS SQL             |          1 |         25 |          2 |          1 |         28 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Properties         |          1 |          3 |          1 |          1 |          5 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         81 |     11,603 |        420 |        556 |     12,579 |
| . (Files)                                                                                                       |         11 |      8,385 |         17 |         32 |      8,434 |
| .github                                                                                                         |          1 |         45 |          0 |         10 |         55 |
| .github\workflows                                                                                               |          1 |         45 |          0 |         10 |         55 |
| drizzle                                                                                                         |          3 |        232 |          2 |          1 |        235 |
| drizzle\migrations                                                                                              |          3 |        232 |          2 |          1 |        235 |
| drizzle\migrations (Files)                                                                                      |          1 |         25 |          2 |          1 |         28 |
| drizzle\migrations\meta                                                                                         |          2 |        207 |          0 |          0 |        207 |
| my-documentation                                                                                                |          1 |         77 |          0 |         46 |        123 |
| public                                                                                                          |          2 |         27 |          0 |          0 |         27 |
| src                                                                                                             |         63 |      2,837 |        401 |        467 |      3,705 |
| src (Files)                                                                                                     |          6 |        107 |          3 |         20 |        130 |
| src\api                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| src\assets                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                  |          2 |          9 |          0 |          3 |         12 |
| src\components\test                                                                                             |          2 |          9 |          0 |          3 |         12 |
| src\components\test (Files)                                                                                     |          1 |          3 |          0 |          1 |          4 |
| src\components\test\__tests__                                                                                   |          1 |          6 |          0 |          2 |          8 |
| src\config                                                                                                      |          2 |        119 |          6 |         10 |        135 |
| src\db                                                                                                          |         14 |        497 |        134 |        100 |        731 |
| src\db (Files)                                                                                                  |          7 |        154 |         17 |         35 |        206 |
| src\db\__tests__                                                                                                |          4 |        183 |         18 |         36 |        237 |
| src\db\services                                                                                                 |          3 |        160 |         99 |         29 |        288 |
| src\features                                                                                                    |         15 |      1,050 |        154 |        182 |      1,386 |
| src\features\games                                                                                              |          8 |        610 |         92 |         91 |        793 |
| src\features\games (Files)                                                                                      |          1 |         27 |          2 |          7 |         36 |
| src\features\games\electroMagnets                                                                               |          3 |        154 |         14 |         18 |        186 |
| src\features\games\electroMagnets\components                                                                    |          2 |         70 |          8 |         13 |         91 |
| src\features\games\electroMagnets\slices                                                                        |          1 |         84 |          6 |          5 |         95 |
| src\features\games\magnets                                                                                      |          4 |        429 |         76 |         66 |        571 |
| src\features\games\magnets\components                                                                           |          2 |         70 |          8 |         13 |         91 |
| src\features\games\magnets\hooks                                                                                |          1 |        275 |         62 |         48 |        385 |
| src\features\games\magnets\slices                                                                               |          1 |         84 |          6 |          5 |         95 |
| src\features\levels                                                                                             |          2 |        104 |          9 |         15 |        128 |
| src\features\levels (Files)                                                                                     |          1 |         36 |          2 |          9 |         47 |
| src\features\levels\slices                                                                                      |          1 |         68 |          7 |          6 |         81 |
| src\features\player                                                                                             |          1 |         24 |          2 |          5 |         31 |
| src\features\player\slices                                                                                      |          1 |         24 |          2 |          5 |         31 |
| src\features\sandbox                                                                                            |          4 |        312 |         51 |         71 |        434 |
| src\features\sandbox (Files)                                                                                    |          2 |         69 |          2 |         12 |         83 |
| src\features\sandbox\hooks                                                                                      |          1 |        201 |         24 |         45 |        270 |
| src\features\sandbox\utils                                                                                      |          1 |         42 |         25 |         14 |         81 |
| src\hooks                                                                                                       |          2 |         18 |          1 |          7 |         26 |
| src\lab                                                                                                         |          2 |         56 |         13 |         12 |         81 |
| src\lab\lab-sqlocal                                                                                             |          2 |         56 |         13 |         12 |         81 |
| src\lab\lab-sqlocal\lab-drizzle                                                                                 |          1 |         22 |          5 |          6 |         33 |
| src\lab\lab-sqlocal\lab-no-orm                                                                                  |          1 |         34 |          8 |          6 |         48 |
| src\models                                                                                                      |          5 |        273 |         32 |         47 |        352 |
| src\models (Files)                                                                                              |          4 |        262 |         32 |         42 |        336 |
| src\models\base                                                                                                 |          1 |         11 |          0 |          5 |         16 |
| src\pages                                                                                                       |          6 |        613 |         43 |         64 |        720 |
| src\pages (Files)                                                                                               |          4 |        147 |          6 |         17 |        170 |
| src\pages\games                                                                                                 |          2 |        466 |         37 |         47 |        550 |
| src\router                                                                                                      |          2 |         24 |          1 |          3 |         28 |
| src\store                                                                                                       |          2 |         26 |          6 |          6 |         38 |
| src\styles                                                                                                      |          1 |         25 |          3 |          7 |         35 |
| src\utils                                                                                                       |          2 |         19 |          5 |          5 |         29 |
